year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Year Avg,Good Name,Good Unit,Source,Price Unit
2022,,,,,,,,,,,,,9750,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2021,,,,,,,,,,,,,9596,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2020,,,,,,,,,,,,,9374,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2019,,,,,,,,,,,,,9349,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2018,,,,,,,,,,,,,9212,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2017,,,,,,,,,,,,,9036,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2016,,,,,,,,,,,,,8804,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2015,,,,,,,,,,,,,8778,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2014,,,,,,,,,,,,,8543,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2013,,,,,,,,,,,,,8312,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2012,,,,,,,,,,,,,8070,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2011,,,,,,,,,,,,,7713,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2010,,,,,,,,,,,,,7132,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2009,,,,,,,,,,,,,6717,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2008,,,,,,,,,,,,,6312,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2007,,,,,,,,,,,,,5943,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2006,,,,,,,,,,,,,5666,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2005,,,,,,,,,,,,,5351,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2004,,,,,,,,,,,,,5027,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2003,,,,,,,,,,,,,4587,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2002,,,,,,,,,,,,,4046,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2001,,,,,,,,,,,,,3735,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2000,,,,,,,,,,,,,3501,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1999,,,,,,,,,,,,,3349,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1998,,,,,,,,,,,,,3229,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1997,,,,,,,,,,,,,3110,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1996,,,,,,,,,,,,,2987,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1995,,,,,,,,,,,,,2848,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1994,,,,,,,,,,,,,2681,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1993,,,,,,,,,,,,,2537,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1992,,,,,,,,,,,,,2349,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1991,,,,,,,,,,,,,2117,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1990,,,,,,,,,,,,,1888,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1989,,,,,,,,,,,,,1780,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1988,,,,,,,,,,,,,1646,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1987,,,,,,,,,,,,,1537,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1986,,,,,,,,,,,,,1414,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1985,,,,,,,,,,,,,1318,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1984,,,,,,,,,,,,,1228,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1983,,,,,,,,,,,,,1148,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1982,,,,,,,,,,,,,1031,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1981,,,,,,,,,,,,,909,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1980,,,,,,,,,,,,,804,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1979,,,,,,,,,,,,,738,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1978,,,,,,,,,,,,,688,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1977,,,,,,,,,,,,,655,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1976,,,,,,,,,,,,,617,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1975,,,,,,,,,,,,,542,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1974,,,,,,,,,,,,,512,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1973,,,,,,,,,,,,,514,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1972,,,,,,,,,,,,,503,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1971,,,,,,,,,,,,,428,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1970,,,,,,,,,,,,,394,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1969,,,,,,,,,,,,,358,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1968,,,,,,,,,,,,,321,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1967,,,,,,,,,,,,,310,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1966,,,,,,,,,,,,,302,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1963,,,,,,,,,,,,,243,Public 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar